latitude,longitude
50.47,30.525
50.49,30.5237
50.4504,30.528
50.42,30.5
50.4507,30.5
50.4515,30.57
50.49,30.59
50.48,30.5261
50.4513,30.44
50.6,30.4269
50.62,30.57
50.413,30.62
50.37,30.55
50.39,30.4237
50.4504,30.528
50.42,30.5
50.4507,30.5
50.4515,30.57
50.49,30.59
50.48,30.5261
50.4513,30.44
50.6,30.4269
50.62,30.57
50.413,30.62
50.47,30.525
50.49,30.5237
50.4504,30.528
50.42,30.5
50.4507,30.5
50.4515,30.57
50.49,30.59
50.48,30.5261
50.4513,30.44
50.6,30.4269
50.62,30.57
50.413,30.62
50.47,30.525
50.49,30.5237
50.4504,30.528
50.42,30.5
50.4507,30.5
50.4515,30.57
50.49,30.59
50.48,30.5261
50.4513,30.44
50.6,30.4269
50.62,30.57
50.413,30.62
50.47,30.525
50.49,30.5237
50.4504,30.528
50.42,30.5
50.4507,30.5
50.4515,30.57
50.49,30.59
50.48,30.5261
50.4513,30.44
50.6,30.4269
50.62,30.57
50.413,30.62
50.47,30.525
50.49,30.5237
50.4504,30.528
50.42,30.5
50.4507,30.5
50.4515,30.57
50.49,30.59
50.48,30.5261
50.4513,30.44
50.6,30.4269
50.62,30.57
50.413,30.62
50.47,30.525
50.49,30.5237
50.4504,30.528
50.42,30.5
50.4507,30.5
50.4515,30.57
50.49,30.59
50.48,30.5261
50.4513,30.44
50.6,30.4269
50.62,30.57
50.413,30.62
50.47,30.525
50.49,30.5237
50.4504,30.528
50.42,30.5
50.4507,30.5
50.4515,30.57
50.49,30.59
50.48,30.5261
50.4513,30.44
50.6,30.4269
50.62,30.57
50.413,30.62
50.47,30.525
50.49,30.5237
50.4504,30.528
50.42,30.5
50.4507,30.5
50.4515,30.57
50.49,30.59
50.48,30.5261
50.4513,30.44
50.6,30.4269
50.62,30.57
50.413,30.62